country,longitude,latitude,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,Total Immigration
Spain,-3.74922,40.463667,3.457,3.304,3.283,3.945,3.843,3.746,3.602,3.963,4.395,4.726,4.673,3.565,3.443,3.838,4.611,4.620,4.358,4.266,4.248,
Suriname,-56.027783,3.919305,,,,,,,,,,,,1.519,2.114,2.476,2.787,2.854,3.133,3.359,3.373,
Sweden,18.643501,60.128161,,,,,,4.955,5.604,5.375,5.388,5.053,5.000,3.816,3.954,4.331,4.274,3.804,4.005,4.101,4.170,
Switzerland,8.227512,46.818188,3.498,3.646,3.683,4.388,4.325,4.402,4.909,4.568,4.512,4.359,4.502,3.777,3.996,4.245,4.283,3.931,3.920,4.071,4.085,
Syria,38.996815,34.802075,,,,,0.301,0.845,2.146,,,,3.725,3.340,3.072,3.038,3.386,3.908,4.162,4.360,4.489,
Taiwan,120.960515,23.69781,,,,,,,,,,,,,,2.858,4.195,4.920,5.076,5.123,4.967,
Turkey,35.243322,38.963745,1.279,0.903,1.653,1.973,2.111,2.582,3.394,4.439,5.107,5.206,4.606,3.119,2.877,3.474,3.976,4.087,4.283,4.588,4.685,
Uruguay,-55.765835,-32.522779,,,,,,1.342,0.602,2.158,,,,2.185,2.877,3.011,3.612,3.925,3.859,3.783,3.992,
Venezuela,-66.58973,6.42375,,,,,1.556,2.279,2.394,,,,,3.134,3.339,3.997,4.317,4.042,4.350,4.546,4.914,
Vietnam,108.277199,14.058324,,,,,,,,,,,,,,2.462,3.470,5.085,5.302,5.440,5.462,
Yugoslavia,,,,,,,,,,,,,4.692,3.840,3.309,3.843,4.255,4.503,4.211,4.756,5.120,
